Muni,Surname,Name,ID Number,Year,Age,Gender,Elderly,Disabled,Veteran,HasClaim,OldApplicant,Allocated,Valid,Score
EKU,Khawula,Litha,8905248966760,1995,35,Female,0,1,1,1,1,1,1,4
GT485,Maluleke,Leigh,5309252335077,2008,71,Female,1,1,1,1,0,1,1,4
DC42,Mokoena,Nompumelelo,9204257308189,2011,32,Male,0,1,1,1,0,0,1,3
GT422,Majozi,Lungile,3008028912702,2006,94,Female,1,1,0,0,0,1,1,2
GT481,Nkuna,Tshepo,406043633683,2022,80,Male,1,1,1,1,0,1,1,4
GT481,Bongo,Zanele,6503253102017,2012,60,Male,0,0,0,1,0,1,1,1
DC48,Mthembu,Wayne,9711026773153,2000,27,Male,0,0,0,1,0,0,1,1
DC42,Zwane,Nokuthula,3808181201626,2019,86,Female,1,0,0,1,0,1,1,2
DC48,Mkhize,Mpumelelo,3512063500089,1995,89,Male,1,0,0,1,1,1,1,3
GT421,Qina,Nicole,8411256946064,1997,40,Female,0,1,0,1,1,0,1,3
JHB,Qwabe,Lusanda,403084004863,2000,82,Male,1,0,1,1,0,0,1,3
GT484,Majozi,Kagiso,9708201453348,2018,27,Male,0,0,1,0,0,0,1,1
GT484,Mpofu,Litha,4206214677451,2018,82,Male,1,1,0,1,0,1,1,3
GT423,Seboko,Mandla,4112139521281,2013,83,Male,1,1,1,0,0,0,1,3
JHB,Hlongwane,Nosipho,7111075066110,2012,53,Male,0,1,0,0,0,1,1,1
GT421,Adams,Phumeza,9304013216716,2020,32,Female,0,1,0,0,0,1,1,1
GT481,Khumalo,Lindiwe,7806044059888,1996,46,Male,0,0,0,0,1,1,1,1
GT485,Bell,Bhekumuzi,3003027695105,2007,95,Male,1,1,0,0,0,0,1,2
EKU,Zikhali,Thembeka,8910113698561,2015,35,Male,0,1,1,0,0,0,1,2
GT422,Seboko,Vuyolwethu,4909227506397,2013,75,Male,1,1,0,0,0,0,1,2
EKU,Martin,Sibongile,7612088958110,2019,48,Female,0,0,0,1,0,0,1,1
GT422,Brown,Shaun,4005251064001,1995,84,Male,1,0,0,0,1,0,1,2
DC48,Shabalala,Kagiso,2708247311822,2005,97,Male,1,0,1,0,0,1,1,2
GT485,Khumalo,Zanele,7610078234449,1997,48,Male,0,1,1,0,1,1,1,3
GT421,Buthelezi,Onwaba,3301029889959,2019,92,Female,1,1,1,0,0,0,1,3
TSH,Shabalala,Thandeka,3092264320272,2002,87,Female,1,0,1,0,0,1,1,2
JHB,Noqoli,Shaun,9410149015259,1995,30,Female,0,1,0,0,1,1,1,2
TSH,Khumalo,Lungile,7102064110902,1999,54,Female,0,1,1,0,1,0,1,3
DC48,Mthembu,Bhekumuzi,2601277995421,2020,99,Male,1,1,0,0,0,1,1,2
GT421,Buthelezi,Themba,3906232188804,2009,85,Female,1,1,0,0,0,1,1,2
GT421,Tshabalala,Zintle,3511245951138,2010,89,Male,1,1,1,0,0,0,1,3
GT421,Mitchell,Phumzile,7608252904024,2001,48,Female,0,1,0,1,0,1,1,2
GT484,Walker,Brandon,3509284681673,2020,89,Male,1,0,0,0,0,1,1,1
EKU,Zwane,Lungile,8111232134083,1998,43,Male,0,0,1,0,1,1,1,2
EKU,Taylor,Tshepo,6402032502802,2017,61,Male,0,1,0,0,0,0,1,1
JHB,Mtimkulu,Mpumelelo,7001048332685,1998,55,Female,0,1,1,0,1,1,1,3
GT481,Mbatha,Sibongile,3605283727560,2016,88,Female,1,1,1,0,0,1,1,3
EKU,Mkhize,Nomvula,9008191270037,2008,34,Male,0,1,0,0,0,1,1,1
DC42,Martin,Litha,3506182511019,2010,89,Male,1,0,1,0,0,1,1,2
DC48,Mtimkulu,Njabulo,7409135105414,2019,50,Male,0,0,0,1,0,1,1,1
TSH,Murphy,Tanya,7308164043135,2012,51,Female,0,0,0,1,0,0,1,1
TSH,Feni,Nomsa,7904219926259,1999,45,Female,0,0,1,0,1,0,1,2
JHB,Mfenyana,Nomonde,2810044318597,2006,96,Female,1,1,0,1,0,0,1,3
GT421,Mdluli,Phumeza,402195084823,1995,83,Female,1,1,0,0,1,0,1,3
GT423,Walker,Kim,6310076373285,2006,61,Female,0,1,0,1,0,1,1,2
GT423,Adams,Lindiwe,9007183643589,1997,34,Female,0,1,1,0,1,0,1,3
GT423,Mphahlele,Kyle,3705088056870,1995,87,Male,1,1,0,1,1,1,1,4
JHB,Green,Zanele,9505036276710,2008,29,Female,0,1,1,0,0,0,1,2
GT421,Scott,Sello,5604019150482,2015,69,Male,1,1,0,0,0,0,1,2
GT481,Nkosi,Lerato,3111062894562,2002,93,Male,1,1,0,0,0,0,1,2
GT484,Smith,Njabulo,9705173678795,2005,27,Female,0,0,1,1,0,0,1,2
DC42,Green,Nosipho,7311072864294,2001,51,Male,0,0,1,0,0,1,1,1
DC42,Mitchell,Zintle,9910139877392,2017,25,Male,0,1,1,1,0,0,0,3
TSH,Ward,Ashley,7506219195124,1996,49,Male,0,0,0,0,1,0,1,1
GT485,Seboko,Darren,2810069986644,1996,96,Female,1,0,0,0,1,1,1,2
GT421,Bell,Njabulo,7507075237156,2013,49,Female,0,0,1,1,0,0,1,2
GT421,Mkhize,Bongi,9011277606600,1999,34,Female,0,0,1,1,1,1,1,3
GT421,Mbatha,Nomsa,8806184603620,2021,36,Male,0,0,1,0,0,0,1,1
DC48,Mthembu,Nicole,8611248274884,2013,38,Male,0,0,1,1,0,0,1,2
GT485,Zikhali,Jody,6203134189168,2003,63,Female,0,0,0,1,0,0,1,1
GT484,Ntuli,Mandla,3704255090968,2011,87,Male,1,1,1,1,0,0,1,4
GT481,Adams,Tshepo,6402238090581,2019,61,Male,0,1,0,0,0,1,1,1
GT485,Mdletshe,Siphesihle,3901142443629,2007,86,Male,1,0,0,1,0,1,1,2
GT481,Ndaba,Nosipho,9009052505367,2003,34,Female,0,0,0,1,0,1,1,1
GT421,Gwala,Njabulo,5012155034221,1998,74,Male,1,1,0,0,1,1,1,3
JHB,Seboko,Wayne,5003244975973,2008,75,Female,1,1,1,1,0,1,1,4
GT481,Bell,Kevin,5306078003933,1997,71,Male,1,1,0,0,1,1,1,3
GT485,Jikeka,Lusanda,6102019750993,2019,64,Female,0,0,0,0,0,0,1,0
GT481,Khumalo,Anathi,8803199612592,1995,37,Female,0,0,1,1,1,0,1,3
GT423,Khoza,Ashley,4503032734470,1997,80,Male,1,1,1,1,1,0,1,5
GT421,Mahlangu,Kyle,4703068822914,2005,78,Male,1,0,0,1,0,1,1,2
GT485,Buthelezi,Lindiwe,7101081913971,2005,54,Female,0,1,0,1,0,0,0,2
JHB,Walker,Thamsanqa,6608204633738,2014,58,Male,0,0,1,1,0,0,1,2
GT484,Bell,Zanele,4908123192574,2021,75,Female,1,0,0,1,0,1,1,2
DC42,Zikhali,Lindiwe,6008247797048,2019,64,Female,0,0,1,1,0,0,1,2
JHB,Mabuza,Sibusiso,3508243559071,1997,89,Male,1,0,1,1,1,1,1,4
EKU,Dlamini,Lusanda,6002277688406,2017,65,Female,0,1,0,0,0,1,1,1
EKU,Noqoli,Jody,8312134683410,2016,41,Male,0,0,0,0,0,0,1,0
GT422,Mahlangu,Sipho,2807142892400,2016,96,Male,1,0,1,1,0,1,1,3
GT421,Mabuza,Gugu,5802207071125,2013,67,Male,1,1,1,1,0,0,1,4
GT421,Bongo,Lindiwe,5208281819895,2005,72,Male,1,0,1,1,0,0,1,3
TSH,Magwaza,Nomsa,4003202821445,2008,85,Female,1,1,1,0,0,1,1,3
EKU,Noqoli,Nomonde,8712167247208,2000,37,Male,0,0,0,1,0,0,1,1
GT481,Mbatha,Zanele,7202272525311,2016,53,Female,0,1,0,1,0,0,1,2
GT481,Nqini,Zintle,9210082062503,2005,32,Female,0,0,0,0,0,1,1,0
GT423,Mpofu,Anele,8801261987317,2011,37,Female,0,0,0,1,0,1,1,1
TSH,Smith,Leigh,4022523181445,2019,83,Male,1,1,0,1,0,0,1,3
GT481,Jones,Lindiwe,8812055829395,2022,36,Male,0,0,0,1,0,1,1,1
GT421,Mdletshe,Vuyolwethu,5012144161407,1998,74,Male,1,0,1,0,1,0,1,3
GT421,Murphy,Jason,6503068383162,2009,60,Male,0,0,1,1,0,1,0,2
GT484,Martin,Nomonde,3412255441840,2008,90,Male,1,0,1,1,0,1,1,3
DC42,Smith,Thabo,4412188204167,1997,80,Male,1,0,1,0,1,0,1,3
GT484,Clark,Sibongile,7509152735333,2013,49,Male,0,1,1,1,0,0,1,3
GT484,Mokoena,Shaun,4411278853500,2019,80,Female,1,0,1,1,0,1,1,3
DC48,Gxowa,Nosipho,8002201557049,2001,45,Male,0,1,0,0,0,1,1,1
GT423,Smith,Khanyisile,4102272985165,2007,84,Female,1,1,1,0,0,1,1,3
GT423,Motsweni,Phumeza,2808216614007,2012,96,Male,1,1,1,1,0,0,1,4
GT481,Yaso,Mpumelelo,8203074296543,1999,43,Male,0,0,0,1,1,0,1,2
GT422,Ndlovu,Thembeka,6504258647072,2019,59,Male,0,1,1,1,0,0,1,3
GT422,Mkhize,Sibusisiwe,3305281427661,2021,91,Male,1,1,0,0,0,0,1,2
GT484,Stewart,Zanele,9302168657687,2003,32,Male,0,1,1,0,0,1,0,2
GT423,Shabalala,Leigh,5003181420438,1995,75,Female,1,0,1,1,1,1,0,4
GT423,Hlongwane,Zanele,6209113856195,2015,62,Female,0,1,0,0,0,1,1,1
GT421,Mbatha,Lauren,7405067316579,1998,50,Female,0,1,0,0,1,1,1,2
EKU,Walker,Stacy,7404267078331,2002,50,Male,0,1,1,1,0,0,1,3
GT421,Ngubane,Sello,7301112642623,2005,52,Male,0,0,1,1,0,0,1,2
DC42,Majozi,Brandon,9268124435123,2020,27,Male,0,0,0,0,0,1,1,0
TSH,Jones,Zintle,8104224872256,2011,43,Male,0,1,0,0,0,0,1,1
TSH,Mitchell,Thamsanqa,5802185618911,2002,67,Male,1,0,0,1,0,0,1,2
GT485,Young,Darren,6610021628713,2018,58,Female,0,0,0,1,0,0,1,1
GT422,Mitchell,Anele,8002047060481,2002,45,Male,0,1,1,1,0,0,1,3
GT421,Clark,Chad,6307165795317,2019,61,Male,0,0,1,1,0,0,1,2
JHB,Sithole,Tanya,4505039651056,2000,79,Male,1,0,0,1,0,1,1,2
DC48,Tshabalala,Nqobile,2603115715237,2011,99,Female,1,1,1,0,0,0,1,3
GT484,Mthethwa,Tshepo,7705259914559,2016,47,Male,0,0,0,0,0,0,1,0
GT484,Mfenyana,Nosipho,8111263643286,2009,43,Male,0,0,0,0,0,1,0,0
EKU,Mitchell,Stacy,2605117328062,2001,98,Male,1,1,0,0,0,1,1,2
GT421,Khawula,Lungile,5911057664030,2012,65,Female,0,1,1,0,0,0,1,2
GT422,Mtimkulu,Jason,8011115174904,2017,44,Female,0,1,0,1,0,0,1,2
TSH,Mabaso,Wayne,4205261363340,2001,82,Female,1,0,1,0,0,0,1,2
GT481,Khumalo,Tanya,3605158951667,2010,88,Female,1,1,0,1,0,1,1,3
DC42,Hlongwane,Gugu,5709182085866,2020,67,Female,1,0,0,1,0,1,1,2
GT485,Young,Kyle,9311148162323,1996,31,Male,0,0,1,1,1,0,1,3
DC42,Mabuza,Yamkela,7907039235864,2001,45,Female,0,0,1,0,0,0,1,1
DC42,Jikeka,Jason,8102137115453,2010,44,Female,0,1,1,0,0,0,1,2
GT481,Mthimkulu,Vuyolwethu,8706169307649,2004,37,Male,0,0,1,0,0,1,1,1
GT423,Zulu,Sinethemba,4212183963150,2021,82,Female,1,1,1,1,0,1,0,4
JHB,Nkuna,Thembeka,2910032829429,2005,95,Male,1,1,0,0,0,1,1,2
JHB,Jones,Mandla,5107206879977,2010,73,Female,1,0,1,1,0,1,1,3
GT485,Ndaba,Chad,4510282196960,2005,79,Female,1,0,0,1,0,0,1,2
EKU,Walker,Phumzile,7412135167610,1999,50,Male,0,0,0,0,1,0,1,1
GT421,Zulu,Zanele,6904017403852,2002,56,Male,0,0,0,0,0,0,1,0
DC42,Magwaza,Anele,6810097060298,2002,56,Male,0,0,0,0,0,1,1,0
TSH,Gqirana,Sello,3011056322006,1998,94,Male,1,0,0,0,1,1,1,2
JHB,Ndlovu,Stacy,2601262551176,2005,99,Male,1,0,0,0,0,1,1,1
GT422,Gumede,Kim,3409268783147,2011,90,Female,1,0,0,0,0,0,1,1
GT421,Taylor,Vuyolwethu,4204226313802,2003,82,Female,1,1,0,0,0,0,1,2
GT422,Khawula,Nqobile,6307194952644,2021,61,Female,0,1,1,1,0,0,0,3
GT485,Ncobo,Khanyisa,8812263681631,2003,36,Male,0,1,1,0,0,1,1,2
JHB,Qwabe,Wayne,2904218203157,2015,95,Female,1,1,1,0,0,0,1,3
GT422,Mkhize,Nosipho,4812172034581,2021,76,Male,1,1,0,1,0,0,1,3
GT422,Yaso,Luyolo,3512248583417,2005,89,Female,1,0,1,1,0,1,1,3
GT422,Mdluli,Lindiwe,8408237647617,2018,40,Female,0,1,0,0,0,1,1,1
JHB,Ward,Tshepo,8306191902149,2019,41,Female,0,0,1,1,0,0,1,2
EKU,Mthimkulu,Sibongile,5408175240106,2012,70,Male,1,1,1,1,0,1,1,4
GT421,Mdletshe,Themba,8707117554274,2007,37,Male,0,0,1,1,0,0,1,2
DC48,Hlongwane,Shannon,5511245189243,2019,69,Male,1,1,1,1,0,0,1,4
GT423,Khawula,Vuyolwethu,7401075040786,2001,51,Male,0,1,1,1,0,0,1,3
GT421,Stewart,Mpumelelo,6105144047815,1996,63,Male,0,0,1,0,1,1,1,2
EKU,Ngidi,Wayne,7309144114557,2007,51,Female,0,1,0,0,0,0,1,1
GT484,Hlongwane,Lusanda,4209127470598,2020,82,Female,1,1,1,1,0,1,1,4
GT484,Bell,Ayabonga,4610113354480,2013,78,Female,1,0,0,0,0,1,1,1
GT422,Baloyi,Shannon,8510262904664,2004,39,Female,0,0,1,1,0,0,1,2
GT485,Mthethwa,Tanya,2606013729875,2011,98,Female,1,1,0,1,0,1,1,3
GT484,Magwaza,Sipho,3508041248585,2004,89,Female,1,0,0,1,0,0,1,2
GT481,Mahlasela,Chad,6710045985250,2020,57,Female,0,0,0,0,0,1,1,0
TSH,Ngubane,Sibusiso,6209211823523,2005,62,Male,0,1,1,1,0,1,1,3
GT481,Mpofu,Thamsanqa,6201112723837,1995,63,Male,0,0,0,1,1,0,1,2
GT421,Young,Sibusisiwe,9808244700224,2001,26,Female,0,0,1,1,0,1,1,2
GT481,Ncobo,Lusanda,8904171560282,2003,35,Female,0,1,1,1,0,0,1,3
GT422,Ndlovu,Sibongile,6503277090065,2018,60,Male,0,1,1,0,0,0,1,2
DC48,Wright,Jade,9407053024571,2009,30,Male,0,1,0,1,0,0,1,2
TSH,Adams,Siyabonga,4611157088140,2005,78,Male,1,0,1,1,0,1,1,3
DC42,Martin,Sibusiso,3005182217514,1996,94,Male,1,1,1,1,1,0,1,5
GT423,White,Khanyisa,8907039649907,2008,35,Female,0,1,1,0,0,1,1,2
DC42,Khumalo,Shannon,8406233960555,2016,40,Female,0,0,1,0,0,1,1,1
GT484,Qwabe,Zintle,9011223740291,2003,34,Female,0,1,0,0,0,1,1,1
JHB,Mthembu,Nokuthula,2910144469497,2002,95,Male,1,0,0,1,0,1,1,2
TSH,Mfenyana,Sipho,5210266035530,2002,72,Male,1,0,1,1,0,0,1,3
GT421,Mpofu,Xolani,6107083096844,2022,63,Female,0,0,1,1,0,1,1,2
DC48,Khumalo,Gugulethu,6705125231379,2008,57,Female,0,0,1,0,0,0,1,1
DC48,Noqoli,Phumeza,6607063350881,2015,58,Male,0,0,0,1,0,1,1,1
GT423,Mthethwa,Siyabonga,8808225465965,1995,36,Male,0,0,1,1,1,0,1,3
GT485,King,Stacy,7909126591911,2006,45,Male,0,0,1,0,0,0,1,1
GT485,Baloyi,Kevin,9804171284208,2022,26,Female,0,0,1,1,0,0,1,2
GT485,Seboko,Ashley,7812126568764,2013,46,Female,0,0,0,1,0,1,1,1
GT423,Feni,Lungile,9901092182762,2017,26,Male,0,1,0,0,0,0,1,1
DC48,Motsweni,Yamkela,8612205905993,2014,38,Female,0,1,1,1,0,0,1,3
DC42,Motsweni,Thamsanqa,4505111378774,1995,79,Male,1,0,0,0,1,1,1,2
EKU,Mabuza,Jason,6112214976464,1998,63,Male,0,1,0,1,1,1,1,3
GT423,Nkuna,Nomsa,7803091085373,2000,47,Male,0,0,1,0,0,0,1,1
GT423,Bell,Vuyiswa,4402105159857,1995,81,Male,1,1,1,0,1,1,1,4
DC42,Mkhize,Sello,411212345772,2009,83,Male,1,0,1,0,0,0,1,2
EKU,Martin,Bhekumuzi,4404088224218,2005,81,Female,1,0,1,1,0,0,1,3
GT422,Mahlangu,Ayabonga,9205261114968,2005,32,Male,0,1,0,0,0,1,1,1
TSH,Mphahlele,Nicole,5007204189895,2017,74,Male,1,0,0,1,0,1,1,2
GT485,Bell,Gugulethu,2704155567722,2000,97,Female,1,0,1,0,0,0,1,2
GT423,Scott,Luyolo,9706069442902,2019,27,Female,0,1,1,0,0,0,1,2
GT485,Shabalala,Naledi,8305274575251,2000,41,Male,0,1,1,1,0,0,1,3
GT421,Hill,Vuyiswa,9709018086346,2014,27,Female,0,0,0,1,0,0,1,1
DC48,Bell,Shaun,9510092383154,2012,29,Female,0,0,1,0,0,0,1,1
DC48,Shabalala,Tshepo,5412044654012,2013,70,Male,1,0,0,0,0,0,1,1
GT421,Adams,Thamsanqa,8205205530598,1999,42,Female,0,1,1,1,1,0,1,4
TSH,Mpofu,Ayabonga,5608126832921,2005,68,Female,1,1,0,0,0,0,1,2
JHB,Khawula,Lauren,2606281823377,2007,98,Male,1,0,1,0,0,0,1,2
GT481,Mthembu,Nicole,9503211861252,2001,30,Male,0,1,0,1,0,0,1,2
GT422,Ndlovu,Akhona,3402095825639,2001,91,Female,1,0,0,0,0,1,1,1
GT423,Ward,Naledi,7508102945185,2002,49,Female,0,1,0,0,0,0,1,1
TSH,Dlamini,Lerato,4304254543697,2017,81,Male,1,1,0,0,0,0,1,2
EKU,Shabalala,Kyle,6712194390953,2009,57,Male,0,1,1,1,0,1,1,3
GT422,Mahlasela,Mfundo,5112048874496,2011,73,Male,1,1,1,0,0,0,0,3
TSH,Gxowa,Leigh,3007205123541,2021,94,Male,1,0,0,0,0,1,1,1
JHB,Qina,Thulani,5512128876803,2016,69,Female,1,0,1,1,0,0,1,3
EKU,Seboko,Vuyolwethu,5807233632664,1995,66,Male,1,0,0,0,1,0,1,2
GT484,Ndlovu,Lerato,7805187518089,2010,46,Female,0,1,1,0,0,1,1,2
JHB,Mabaso,Jade,6006222199050,2020,64,Female,0,1,1,1,0,0,1,3
DC42,Ngqola,Zanele,5110075799675,1995,73,Female,1,0,1,0,1,1,1,3
EKU,Majozi,Nomvula,8501178732416,2010,40,Male,0,1,1,1,0,1,1,3
EKU,Ngqola,Anathi,4211218664330,1997,82,Female,1,0,0,0,1,0,1,2
DC42,Green,Buhle,6003104089776,2007,65,Female,0,0,0,1,0,1,1,1
GT421,Young,Naledi,3408144288209,1997,90,Female,1,0,0,1,1,1,1,3
JHB,Buthelezi,Nicole,4601209947381,2015,79,Male,1,1,1,0,0,1,1,3
DC42,Mahlangu,Thulani,9204284270778,2007,32,Female,0,0,0,0,0,0,0,0
GT484,Ndaba,Vuyolwethu,3812189397566,2007,86,Female,1,0,0,1,0,1,1,2
GT422,Ndlovu,Siyabonga,3107279406399,2008,93,Male,1,0,1,1,0,1,1,3
DC42,Mdletshe,Thabo,6601092228217,2017,59,Male,0,1,0,1,0,0,1,2
GT421,Ndaba,Litha,5407088433713,2022,70,Female,1,1,0,1,0,1,1,3
GT422,Bongo,Thandeka,5707253774732,2000,67,Male,1,1,1,1,0,0,1,4
GT485,Hill,Lauren,3104226095871,2018,93,Male,1,1,1,0,0,1,1,3
TSH,Stewart,Khanyisa,3505065717772,1996,89,Male,1,0,1,1,1,1,1,4
GT423,Shabalala,Zanele,8201051307829,2015,43,Male,0,1,0,1,0,1,1,2
JHB,Feni,Njabulo,6105141318445,2001,63,Male,0,1,0,0,0,0,1,1
GT422,Nkosi,Thamsanqa,8407274887005,1997,40,Male,0,1,0,1,1,1,1,3
DC42,Mtimkulu,Mpumelelo,2909173400956,1999,95,Male,1,0,1,1,1,0,1,4
GT421,Khoza,Themba,8704158021223,2003,37,Female,0,1,0,0,0,1,1,1
EKU,Green,Buhle,5303085797919,2005,72,Male,1,1,0,1,0,0,1,3
GT422,Zwane,Bhekumuzi,5409112667785,1998,70,Female,1,0,1,0,1,0,1,3
GT423,Scott,Sibongile,8710155792195,2007,37,Male,0,0,1,1,0,1,1,2
EKU,Khumalo,Njabulo,8009225872697,2021,44,Male,0,0,0,1,0,0,1,1
GT423,Murphy,Anele,3409175403088,2017,90,Female,1,0,1,0,0,1,1,2
GT481,Sithole,Tshepo,7112162877896,1997,53,Female,0,1,1,0,1,0,1,3
GT485,Bell,Sibongile,5405066026418,2010,70,Female,1,0,0,1,0,1,1,2
EKU,Gqirana,Nomthandazo,9111108834479,1997,33,Female,0,0,0,0,1,1,1,1
GT484,Murphy,Siphesihle,7005099771485,2021,54,Male,0,0,1,0,0,1,1,1
DC42,Gqiba,Sello,2906115570337,2007,95,Male,1,1,1,0,0,0,1,3
DC42,Qwabe,Siyabonga,2906137070591,2018,95,Male,1,0,0,0,0,1,1,1
GT484,Magwaza,Nomonde,6912205192780,2016,55,Male,0,0,1,0,0,0,1,1
GT423,Mphahlele,Tshepo,9709193693138,2015,27,Male,0,0,1,0,0,1,1,1
GT421,Mkhize,Njabulo,8703124821352,2011,38,Male,0,1,0,0,0,1,1,1
TSH,Mtimkulu,Dean,2611014194946,2022,98,Male,1,1,0,1,0,1,1,3
DC48,Mthethwa,Zimasa,2610052403559,2010,98,Female,1,0,0,0,0,0,1,1
TSH,Hill,Yamkela,4103277519884,2017,84,Male,1,1,0,0,0,1,1,2
JHB,Majozi,Sinethemba,6501117529130,2022,60,Female,0,1,0,1,0,0,1,2
GT484,Khoza,Zanele,8003282858291,2000,45,Female,0,1,1,1,0,1,0,3
EKU,Nkuna,Zimasa,8412233269381,2014,40,Male,0,0,0,1,0,0,1,1
GT423,Bell,Lungile,7003183946271,1998,55,Male,0,0,1,0,1,0,1,2
GT484,Mahlangu,Nicole,506075833842,2004,70,Female,1,1,0,1,0,0,1,3
GT423,Taylor,Thulani,9111081509660,2017,33,Female,0,1,1,1,0,0,1,3
GT423,Walker,Kyle,6011273774637,2018,64,Female,0,0,0,1,0,0,1,1
GT423,Ward,Darren,8712238953317,2012,37,Male,0,1,1,0,0,1,1,2
GT481,Ndaba,Sibusiso,7202268078407,2013,53,Male,0,1,0,1,0,0,1,2
GT485,Mbenenge,Nomthandazo,3812037737155,2018,86,Male,1,1,0,0,0,1,1,2
GT485,Seboko,Themba,2807264499217,2001,96,Female,1,0,0,0,0,0,1,1
GT484,Yaso,Dean,9603237315597,2004,29,Female,0,0,1,1,0,0,1,2
DC42,Mtimkulu,Nomsa,7910165596586,2004,45,Female,0,1,0,1,0,1,1,2
GT422,Adams,Kyle,8510236929569,2011,39,Female,0,0,1,0,0,0,1,1
GT485,Scott,Phumeza,7405016672546,2001,50,Male,0,0,0,0,0,1,1,0
GT422,Mdletshe,Shannon,3607074357925,2006,88,Male,1,0,1,1,0,1,1,3
